Region Name,Vineyards,Wineries,Tasting Rooms,State,County
Texas High Plains,1,0,1,Texas,"Armstrong, Deaf Smith, Randall, Borden, Dawson, Gaines, Bailey, Briscoe, Castro, Cochran, Crosby, Dickens, Floyd, Garza, Hale, Hockley, Lamb, Lubbock, Lynn, Motley, Parmer, Swisher, Terry, Yoakum"
Texas Hill Country,5,2,0,Texas,"Bandera, Blanco, Comal, Edwards, Gillespie, Guadalupe, Hays, Kendall, Kerr, Real, Travis, Burnet, Kimble, Llano, McCulloch, Mason, Menard, San Saba, Williamson, Bexar, Medina, Uvalde, Lampasas"
Texoma,0,0,0,"Texas, Oklahoma","Collin, Cooke, Denton, Fannin, Grayson, Lamar, Montague, Bryan, Jefferson, Love, Marshall, Clay"
The Rocks District of Milton-Freewater,25,0,0,Oregon,Umatilla
Tracy Hills,0,0,0,California,"San Joaquin, Stanislaus"
Trinity Lakes,0,0,0,California,Trinity
Umpqua Valley,45,19,22,Oregon,"Douglas, Lane"
Walla Walla Valley,121,25,25,"Oregon, Washington",Walla Walla
West Elks,23,10,12,Colorado,Delta
West Sonoma Coast,50,3,2,California,"Mendocino, Sonoma"
Wild Horse Valley,0,0,0,California,"Napa, Solano"
Willamette Valley,778,269,263,"Oregon, Washington","Benton, Lane, Linn, Clackamas, Lincoln, Marion, Multnomah, Polk, Tillamook, Washington, Yamhill, Clark"
Willow Creek,0,0,0,California,"Humboldt, Trinity"
Yakima Valley,78,8,7,Washington,"Benton, Yakima"
Yamhill-Carlton,105,31,26,Oregon,"Washington, Yamhill"
York Mountain,1,0,0,California,San Luis Obispo
Yorkville Highlands,6,2,2,California,Mendocino
Yountville,19,8,8,California,Napa
