"SAGDP11N Contributions to percent change in real GDP 1/"
"Contributions to percent change in real GDP: Food and beverage and tobacco product manufacturing (Percentage points)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"13000","Georgia",0.72,0.27,-0.08,-0.07,-0.32,0.13,0.09,0.17,-0.40,0.07,-0.25,0.21,-0.29,0.10,-0.15,-0.08,0.08,-0.08,0.09,0.09,"(NA)"
"15000","Hawaii",-0.01,0.02,-0.09,0.01,0.05,0.08,-0.13,0.11,0.09,-0.10,0.00,-0.01,-0.02,-0.03,0.02,0.03,0.03,0.03,0.02,0.01,"(NA)"
"16000","Idaho",-0.40,0.40,0.01,-0.34,0.01,-0.11,-0.29,-0.11,0.51,0.20,-0.01,0.05,-0.10,0.19,0.07,-0.01,0.05,0.11,-0.27,0.25,"(NA)"
"17000","Illinois",-0.07,0.04,0.08,-0.12,-0.11,0.18,-0.14,-0.02,0.02,0.00,0.03,0.03,-0.05,-0.12,-0.15,0.11,-0.01,0.09,-0.06,0.06,"(NA)"
"18000","Indiana",-0.06,-0.27,0.24,-0.04,0.30,-0.01,0.04,-0.28,0.16,0.25,-0.07,-0.14,-0.10,0.14,-0.21,0.06,0.25,0.16,-0.02,0.07,"(NA)"
"19000","Iowa",-0.47,-0.02,-0.18,-0.03,-0.26,0.90,0.17,-0.50,0.28,0.53,0.05,0.09,-0.46,-0.44,-0.32,0.08,-0.19,0.62,-0.14,0.15,"(NA)"
"20000","Kansas",0.05,-0.02,0.05,0.23,-0.22,0.33,-0.07,-0.05,0.38,-0.02,0.35,-0.20,0.11,0.04,-0.15,-0.08,0.20,0.19,-0.19,0.27,"(NA)"
"21000","Kentucky",-0.38,-0.57,-1.27,-0.21,-0.06,-0.19,0.09,0.07,0.31,0.31,-0.01,-0.10,0.01,0.23,0.24,0.01,-0.03,-0.18,-0.18,0.15,"(NA)"
"22000","Louisiana",0.05,-0.18,0.06,-0.18,0.31,0.05,0.28,-0.15,0.21,-0.10,-0.17,0.13,0.14,-0.10,0.19,-0.08,-0.28,0.12,-0.06,0.01,"(NA)"
"23000","Maine",0.06,-0.29,0.26,-0.08,-0.01,0.24,-0.04,0.13,0.32,0.16,-0.18,-0.04,-0.03,-0.02,0.08,-0.27,0.00,-0.09,-0.06,0.08,"(NA)"
"24000","Maryland",-0.26,0.06,-0.08,0.02,0.02,-0.12,0.11,0.02,0.16,0.10,-0.03,-0.09,-0.09,-0.11,0.00,0.03,0.06,-0.18,-0.06,0.03,"(NA)"
"25000","Massachusetts",-0.01,-0.05,0.01,-0.06,-0.02,0.00,0.03,0.03,0.14,-0.09,-0.03,0.06,0.02,-0.06,-0.02,0.03,0.08,0.01,-0.06,0.02,"(NA)"
"26000","Michigan",-0.15,0.05,-0.32,0.00,0.05,0.04,0.03,-0.02,0.24,-0.13,0.12,0.01,-0.05,-0.10,-0.24,0.02,-0.03,0.01,0.01,0.05,"(NA)"
"27000","Minnesota",-0.05,0.08,0.05,-0.22,-0.03,-0.18,0.01,-0.02,0.15,0.12,0.15,0.00,-0.24,-0.03,-0.07,0.00,0.09,0.10,0.01,0.06,"(NA)"
"28000","Mississippi",-0.19,0.04,-0.20,0.29,-0.30,0.16,-0.03,-0.26,0.43,0.13,-0.03,-0.16,-0.29,-0.14,0.11,0.24,-0.11,0.01,-0.16,0.08,"(NA)"
"29000","Missouri",-0.14,-0.04,-0.14,-0.04,-0.23,0.34,0.11,-0.13,0.11,0.08,0.51,-0.72,-0.19,0.12,0.11,0.02,-0.08,-0.03,-0.30,-0.02,"(NA)"
"30000","Montana",0.07,-0.04,-0.02,-0.08,-0.01,0.02,0.10,-0.03,0.13,-0.01,-0.06,0.04,0.06,-0.07,-0.02,0.20,0.05,0.06,-0.17,0.03,"(NA)"
"31000","Nebraska",-0.55,-0.06,0.54,0.35,-0.77,0.08,-0.08,0.47,0.79,-0.52,0.76,-0.02,-0.31,-0.43,-0.07,-0.12,0.08,0.19,-0.04,0.30,"(NA)"
"32000","Nevada",0.11,0.05,0.00,0.03,-0.14,0.04,0.02,0.01,0.07,0.02,-0.03,-0.02,-0.04,-0.06,-0.05,0.07,0.06,-0.03,-0.02,0.03,"(NA)"
"33000","New Hampshire",-0.07,0.02,0.06,0.06,0.00,0.01,-0.14,0.07,0.07,0.07,-0.08,0.01,-0.06,0.03,-0.08,0.11,0.06,-0.06,-0.04,0.00,"(NA)"
"34000","New Jersey",-0.14,0.08,-0.07,-0.15,-0.06,0.06,0.02,-0.09,0.01,-0.03,-0.03,0.00,-0.03,-0.06,-0.02,-0.02,-0.03,0.02,0.02,0.01,"(NA)"
"35000","New Mexico",-0.04,0.27,-0.15,-0.08,0.10,0.04,-0.01,0.07,-0.04,0.11,0.03,-0.12,-0.08,-0.06,0.05,-0.01,-0.08,0.18,0.03,0.00,"(NA)"
"36000","New York",-0.07,-0.01,-0.06,0.04,-0.06,-0.01,-0.02,0.11,0.06,0.03,-0.10,0.10,0.11,-0.06,-0.05,0.01,-0.01,0.01,-0.04,0.03,"(NA)"
"37000","North Carolina",0.33,0.25,0.97,0.12,-1.34,0.61,0.39,0.01,0.98,-0.18,-0.76,-0.01,-0.60,-0.35,-0.23,-0.16,-0.41,0.19,-0.24,0.04,"(NA)"
"38000","North Dakota",-0.37,0.02,0.06,0.15,-0.09,0.29,0.23,-0.27,0.48,0.25,0.29,-0.23,-0.13,0.03,0.14,0.04,-0.18,-0.10,-0.01,0.02,"(NA)"
"39000","Ohio",-0.15,-0.06,-0.15,0.21,-0.04,-0.08,0.11,-0.14,0.23,0.07,-0.19,0.06,-0.10,-0.03,0.00,0.18,0.08,-0.06,-0.12,0.06,"(NA)"
"40000","Oklahoma",0.00,0.11,0.22,-0.08,-0.14,0.35,-0.27,0.12,0.11,-0.07,0.11,-0.18,0.04,-0.08,-0.13,0.06,-0.01,0.08,0.05,0.04,"(NA)"
"41000","Oregon",0.00,-0.22,0.10,0.04,0.18,-0.20,0.13,0.14,0.19,0.07,-0.23,0.12,-0.29,-0.02,-0.05,0.18,0.07,0.09,-0.04,0.09,"(NA)"
"42000","Pennsylvania",0.09,0.02,-0.13,0.03,0.01,0.18,-0.16,-0.02,0.26,-0.06,-0.18,0.10,-0.16,-0.07,-0.01,0.01,0.08,0.05,-0.10,0.03,"(NA)"
"44000","Rhode Island",-0.05,-0.03,0.01,0.00,0.07,0.01,-0.02,0.05,0.13,-0.03,-0.02,-0.06,-0.08,-0.01,-0.08,0.02,0.02,0.04,0.00,0.00,"(NA)"
"45000","South Carolina",0.10,-0.04,-0.03,0.13,0.02,0.08,-0.25,-0.03,0.08,0.05,0.08,0.01,0.05,-0.01,0.04,-0.11,0.08,0.10,-0.01,0.05,"(NA)"
"46000","South Dakota",0.18,0.06,-0.56,0.05,-0.02,-0.12,0.26,0.17,0.15,-0.41,-0.02,-0.06,0.41,0.07,-0.02,-0.44,0.21,0.38,0.09,0.15,"(NA)"
"47000","Tennessee",0.10,0.02,-0.03,0.00,0.15,-0.09,0.26,-0.02,0.24,0.28,-0.21,-0.09,0.02,-0.11,-0.03,0.00,-0.03,0.09,0.06,0.15,"(NA)"
"48000","Texas",0.01,-0.05,-0.03,0.01,0.04,0.04,0.15,-0.04,0.13,-0.06,-0.07,0.01,-0.14,-0.01,-0.05,0.04,0.00,0.11,-0.07,0.05,"(NA)"
"49000","Utah",-0.08,0.02,0.00,-0.06,0.02,0.03,0.00,-0.09,0.04,0.11,0.01,0.11,0.06,0.03,0.01,0.14,0.04,-0.01,-0.06,0.04,"(NA)"
"50000","Vermont",-0.20,0.30,0.12,-0.47,-0.05,0.23,0.11,0.05,0.55,0.17,-0.05,-0.54,0.13,0.08,-0.31,0.01,0.11,0.38,-0.14,0.16,"(NA)"
"51000","Virginia",-0.03,0.56,0.19,0.68,-0.98,-0.24,-0.10,0.15,0.04,-0.28,-0.04,0.88,0.19,-0.10,-0.10,0.06,-0.24,0.04,-0.14,0.17,"(NA)"
"53000","Washington",-0.07,-0.10,0.00,0.03,-0.11,-0.06,0.01,0.07,0.18,0.23,-0.25,0.05,-0.14,0.02,-0.04,0.09,0.09,-0.02,0.00,0.06,"(NA)"
"54000","West Virginia",-0.05,0.04,-0.11,-0.05,0.05,-0.07,-0.01,0.05,0.04,-0.06,-0.02,-0.05,0.02,-0.01,0.02,0.08,-0.07,-0.03,-0.02,0.00,"(NA)"
"55000","Wisconsin",0.11,-0.12,-0.15,0.21,-0.16,-0.09,0.15,-0.03,0.19,0.18,-0.18,0.21,-0.14,-0.01,0.12,0.09,-0.03,0.03,0.01,0.11,"(NA)"
"56000","Wyoming",-0.03,0.01,-0.01,-0.08,-0.15,-0.03,-0.03,-0.03,0.01,-0.02,0.00,0.00,-0.02,0.00,0.01,0.03,-0.01,0.02,-0.02,0.03,"(NA)"
"91000","New England",-0.01,-0.03,0.05,-0.05,0.01,0.04,-0.03,0.07,0.15,-0.05,-0.09,-0.01,-0.01,-0.02,-0.03,0.02,0.03,0.02,-0.05,0.03,"(NA)"
"92000","Mideast",-0.06,0.02,-0.08,0.00,-0.04,0.03,-0.03,0.03,0.10,0.01,-0.09,0.06,-0.01,-0.06,-0.03,0.01,0.02,0.00,-0.04,0.03,"(NA)"
"93000","Great Lakes",-0.08,-0.04,-0.07,0.03,-0.01,0.03,0.01,-0.08,0.15,0.05,-0.04,0.03,-0.08,-0.05,-0.11,0.10,0.04,0.04,-0.04,0.07,"(NA)"
"94000","Plains",-0.17,0.00,-0.02,-0.02,-0.21,0.22,0.06,-0.08,0.26,0.08,0.31,-0.22,-0.19,-0.07,-0.06,-0.02,0.01,0.17,-0.12,0.11,"(NA)"
"95000","Southeast",0.12,0.11,0.04,0.08,-0.32,0.09,0.12,0.01,0.17,-0.05,-0.19,0.13,-0.09,-0.06,-0.06,0.00,-0.09,0.04,-0.05,0.07,"(NA)"
"96000","Southwest",0.00,0.00,-0.01,-0.01,0.02,0.06,0.07,-0.02,0.12,-0.03,-0.04,-0.02,-0.11,-0.01,-0.05,0.04,0.00,0.10,-0.05,0.05,"(NA)"
"97000","Rocky Mountain",-0.10,0.00,0.00,-0.06,-0.06,0.00,-0.03,0.00,0.15,0.17,-0.01,0.00,-0.05,-0.01,0.02,0.09,-0.02,0.04,-0.04,0.06,"(NA)"
"98000","Far West",0.00,0.01,-0.01,0.02,-0.02,0.00,0.00,0.03,0.16,0.06,-0.09,0.04,-0.17,-0.01,0.00,0.04,0.05,0.08,-0.06,0.05,"(NA)"
"Legend / Footnotes:"
"1/ Industry detail is based on the 2012 North American Industry Classification System (NAICS)."
"* Note. Percentage-point contributions do not sum to ""All industry total (percent change)"" because the industry details are calculated using source data and methodologies that differ from those used to calculate growth in the top-line, expenditure-based measure of real GDP."
"(NA) Not available."
"Last updated: November 7, 2019-- revised statistics for 2014-2018."
