"SAGDP11N Contributions to percent change in real GDP 1/"
"Contributions to percent change in real GDP: Arts, entertainment, recreation, accommodation, and food services (Percentage points)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"19000","Iowa",0.03,0.13,0.11,-0.11,0.05,-0.07,0.01,-0.02,0.10,0.07,-0.01,-0.12,0.05,0.11,0.05,0.06,0.06,0.03,0.00,-0.03,0.04
"20000","Kansas",0.18,-0.01,0.07,-0.11,0.01,0.02,0.23,-0.05,0.04,-0.22,-0.08,-0.07,0.03,0.01,0.12,-0.03,0.21,0.18,-0.15,-0.01,0.05
"21000","Kentucky",0.12,0.16,0.11,-0.10,0.09,0.18,0.28,0.01,0.02,-0.06,-0.04,-0.38,0.15,0.05,-0.04,0.18,0.19,0.04,0.06,-0.07,0.07
"22000","Louisiana",-0.02,0.29,0.19,-0.19,0.14,-0.05,0.18,0.01,-0.04,0.08,-0.16,-0.09,0.15,-0.06,0.03,0.11,0.23,0.18,-0.07,0.01,-0.03
"23000","Maine",0.06,0.16,0.26,-0.02,0.22,0.06,0.15,-0.09,0.07,-0.15,-0.22,-0.18,0.19,0.07,0.22,0.19,0.18,0.09,0.16,0.28,0.19
"24000","Maryland",0.03,0.23,0.21,-0.12,0.11,0.03,-0.12,-0.12,0.14,-0.20,-0.07,-0.13,0.14,0.10,0.11,0.10,0.24,0.17,0.09,0.02,0.07
"25000","Massachusetts",0.10,0.20,0.23,0.00,0.10,-0.08,0.22,-0.01,-0.09,-0.07,-0.02,-0.01,0.28,0.08,0.05,0.16,0.25,0.19,0.08,0.03,0.11
"26000","Michigan",0.03,0.15,0.28,-0.12,0.02,0.07,0.19,0.05,-0.06,-0.01,-0.17,-0.25,0.03,0.05,0.18,0.04,0.01,0.05,0.05,0.09,0.10
"27000","Minnesota",0.17,0.12,0.33,-0.15,0.01,0.09,0.16,-0.06,0.03,-0.02,-0.04,-0.20,0.13,0.09,-0.01,0.13,0.04,0.11,0.08,0.12,0.09
"28000","Mississippi",0.13,0.48,0.11,-0.29,0.09,0.00,0.40,-0.10,-0.45,0.23,-0.13,-0.35,0.12,-0.02,-0.08,-0.03,-0.04,-0.04,-0.03,-0.02,0.02
"29000","Missouri",-0.04,0.13,0.10,-0.14,0.18,0.09,0.02,0.06,-0.07,0.00,-0.06,-0.16,0.12,0.06,-0.05,0.09,0.01,0.10,-0.08,-0.02,0.06
"30000","Montana",0.09,-0.11,0.23,-0.26,0.27,0.26,0.23,-0.07,0.26,0.07,-0.15,-0.17,0.02,0.18,0.16,0.16,0.23,0.11,-0.06,0.06,0.07
"31000","Nebraska",0.03,0.15,0.11,-0.08,-0.04,0.09,0.06,0.03,-0.02,-0.02,-0.02,-0.09,0.14,0.05,-0.01,0.06,0.10,0.03,0.04,0.03,0.02
"32000","Nevada",0.81,2.11,1.62,-1.74,0.27,0.44,1.76,0.65,0.27,-0.64,-1.37,-1.84,1.01,0.74,-0.08,0.69,-0.26,0.33,-0.36,-0.35,0.15
"33000","New Hampshire",0.08,0.23,0.38,0.09,0.19,0.14,0.24,-0.05,-0.11,-0.03,-0.41,-0.05,0.24,0.16,0.12,0.35,-0.02,0.15,0.09,0.26,0.19
"34000","New Jersey",-0.23,0.03,0.26,-0.26,0.14,-0.04,0.06,-0.01,0.18,-0.04,-0.06,-0.39,0.06,0.17,0.05,0.04,0.00,-0.11,0.08,0.02,0.21
"35000","New Mexico",-0.05,0.11,0.31,-0.12,0.19,0.18,0.08,-0.01,0.07,0.03,-0.06,-0.01,-0.01,-0.10,-0.02,0.07,0.18,-0.06,-0.01,-0.07,0.11
"36000","New York",0.04,0.22,0.22,-0.24,0.08,0.00,0.31,-0.03,0.16,0.06,0.16,-0.08,0.19,0.16,0.22,0.12,0.01,-0.08,0.13,0.23,0.04
"37000","North Carolina",0.18,0.17,0.15,-0.19,0.07,0.07,0.07,0.01,0.16,0.05,-0.08,-0.13,0.09,0.17,0.07,0.12,0.19,0.12,0.10,0.14,0.08
"38000","North Dakota",-0.05,0.14,0.13,-0.21,0.05,0.04,0.23,0.17,0.28,0.39,0.13,-0.52,0.04,0.18,0.49,0.10,0.04,-0.18,-0.31,-0.04,0.08
"39000","Ohio",0.05,0.11,0.13,-0.13,0.00,0.08,0.01,-0.14,-0.13,0.04,-0.14,-0.12,0.18,0.11,0.17,0.23,0.08,0.02,0.05,0.02,0.07
"40000","Oklahoma",0.26,0.02,0.29,-0.02,0.14,0.04,0.11,-0.07,0.19,-0.22,0.09,0.13,-0.12,-0.19,0.03,0.08,0.18,0.01,-0.06,0.00,0.08
"41000","Oregon",0.13,0.13,0.23,-0.11,0.10,0.03,0.13,0.06,0.12,0.06,-0.26,-0.20,0.14,0.33,0.23,-0.04,0.32,0.28,0.16,0.26,0.21
"42000","Pennsylvania",0.00,0.17,0.14,-0.10,0.09,0.02,0.00,-0.03,-0.01,0.16,-0.02,-0.08,0.23,0.13,0.03,0.00,0.03,0.01,0.03,0.05,0.05
"44000","Rhode Island",0.27,0.18,0.37,-0.01,0.23,0.21,0.00,0.02,0.01,-0.34,0.01,-0.25,0.36,0.11,0.13,0.07,-0.06,0.13,0.06,0.09,0.05
"45000","South Carolina",0.16,0.31,-0.02,-0.23,0.06,0.22,0.24,0.01,0.18,0.35,-0.38,-0.25,0.21,0.13,0.10,0.37,0.24,0.09,-0.01,0.02,0.11
"46000","South Dakota",0.13,0.08,0.13,-0.21,0.24,-0.08,0.34,0.17,0.20,0.02,0.01,-0.73,0.15,0.07,0.16,0.39,0.16,0.07,-0.06,0.07,0.02
"47000","Tennessee",0.28,0.11,0.09,-0.14,0.20,0.17,0.12,0.16,0.32,0.13,-0.47,-0.25,0.19,0.18,0.15,0.05,0.33,0.32,0.02,0.27,0.27
"48000","Texas",0.18,0.25,0.19,-0.12,0.10,0.08,0.06,-0.01,0.23,-0.01,-0.05,-0.12,0.08,0.09,0.08,0.05,0.32,0.18,-0.01,0.03,0.13
"49000","Utah",0.25,0.15,0.22,0.07,0.26,-0.24,0.03,0.07,0.28,0.11,-0.05,-0.26,0.10,0.13,0.10,0.08,0.11,0.15,0.11,0.16,0.06
"50000","Vermont",0.19,0.35,0.45,-0.09,0.37,0.10,0.08,-0.02,-0.14,-0.12,-0.16,-0.25,0.27,0.16,0.11,0.18,0.09,0.19,0.01,0.36,-0.01
"51000","Virginia",0.13,0.13,0.27,-0.09,0.12,0.16,0.10,-0.02,0.09,-0.01,-0.13,-0.14,0.09,0.02,0.00,-0.06,0.04,0.11,0.08,0.09,0.05
"53000","Washington",0.11,0.18,0.16,-0.10,0.03,0.09,0.20,0.19,0.32,0.09,-0.11,-0.40,0.14,0.14,0.10,0.14,0.10,0.15,0.16,0.30,0.12
"54000","West Virginia",0.10,0.21,0.23,-0.03,0.27,0.11,0.08,-0.09,0.00,-0.11,-0.01,-0.06,0.20,0.19,0.10,-0.01,-0.08,-0.07,-0.31,-0.04,0.00
"55000","Wisconsin",0.01,0.21,0.10,-0.02,0.06,0.08,0.07,0.05,0.05,-0.10,-0.06,-0.13,0.07,0.12,0.01,0.06,0.12,-0.04,-0.03,0.06,0.11
"56000","Wyoming",0.00,0.33,0.30,-0.34,0.28,0.17,0.28,0.04,0.65,-0.09,0.02,-0.20,0.00,0.16,0.12,-0.02,0.05,0.09,-0.20,0.09,0.17
"91000","New England",0.06,0.19,0.26,-0.02,0.13,0.01,0.15,-0.02,-0.05,-0.11,-0.05,-0.04,0.22,0.10,0.10,0.10,0.09,0.14,0.08,0.08,0.11
"92000","Mideast",-0.01,0.17,0.22,-0.19,0.10,0.01,0.14,-0.04,0.12,0.03,0.04,-0.15,0.17,0.14,0.13,0.07,0.04,-0.03,0.09,0.13,0.08
"93000","Great Lakes",0.05,0.18,0.18,-0.09,0.03,0.06,0.03,-0.04,0.02,0.03,-0.09,-0.20,0.10,0.09,0.14,0.09,0.10,0.09,0.01,0.05,0.08
"94000","Plains",0.07,0.11,0.17,-0.14,0.07,0.05,0.11,0.00,0.03,-0.01,-0.04,-0.18,0.10,0.08,0.03,0.09,0.07,0.08,-0.03,0.03,0.06
"95000","Southeast",0.13,0.21,0.18,-0.15,0.08,0.16,0.26,0.07,0.10,0.01,-0.13,-0.23,0.19,0.13,0.03,0.03,0.15,0.11,0.04,0.08,0.10
"96000","Southwest",0.18,0.21,0.23,-0.12,0.11,0.10,0.11,0.04,0.21,-0.02,-0.09,-0.13,0.05,0.07,0.09,0.07,0.24,0.15,0.00,0.06,0.13
"97000","Rocky Mountain",0.14,0.22,0.28,-0.07,0.16,-0.06,0.09,0.15,0.19,0.04,-0.03,-0.28,0.11,0.15,0.08,0.25,0.16,0.24,0.08,0.16,0.16
"98000","Far West",0.20,0.26,0.33,-0.15,0.17,0.23,0.28,-0.01,0.15,-0.12,-0.16,-0.40,0.14,0.22,0.10,0.12,0.24,0.16,0.11,0.12,0.17
"Legend / Footnotes:"
"1/ Industry detail is based on the 2012 North American Industry Classification System (NAICS)."
"* Note. Percentage-point contributions do not sum to ""All industry total (percent change)"" because the industry details are calculated using source data and methodologies that differ from those used to calculate growth in the top-line, expenditure-based measure of real GDP."
"Last updated: November 7, 2019-- revised statistics for 2014-2018."
